关键词,意图（代码）,搜索量,趋势,KD,CPC (USD),竞争程度,SF,结果,快照日期,更新状态
where can i see the northern lights,0,12100,16 | 29 | 24 | 29 | 36 | 24 | 44 | 29 | 29 | 24 | 20 | 24,38,0.37,0.15,6 | 7 | 9 | 20 | 21 | 28 | 50,215,20260718,0
where can you see the northern lights,0,12100,16 | 24 | 16 | 20 | 20 | 24 | 54 | 29 | 29 | 24 | 13 | 16,43,0.37,0.15,6 | 7 | 9 | 13 | 20 | 21 | 28 | 50,213,20260718,0
what are the northern lights,0,8100,3 | 4 | 2 | 4 | 3 | 4 | 36 | 4 | 4 | 1 | 3 | 2,60,0.09,0.06,6 | 9 | 20 | 21 | 28 | 50,156,20260718,0
what time will the northern lights be visible tonight,0,8100,0 | 9 | 0 | 0 | 1 | 1 | 55 | 1 | 11 | 0 | 0 | 0,45,0.6,0.01,7 | 9 | 21 | 28 | 50,192,20260718,0
can i see the northern lights tonight,0,6600,0 | 6 | 0 | 1 | 2 | 1 | 44 | 0 | 6 | 0 | 0 | 0,41,1.26,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
what time is the aurora borealis tonight,0,5400,0 | 100 | 0 | 2 | 4 | 1 | 81 | 1 | 13 | 0 | 0 | 0,54,0,0.01,7 | 9 | 21 | 28 | 50,190,20260718,0
what time is the northern lights tonight,0,5400,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,21,0,0.01,7 | 9 | 21 | 28 | 50,38,20260718,0
where are the northern lights,0,5400,8 | 10 | 8 | 10 | 10 | 10 | 36 | 10 | 10 | 7 | 7 | 5,54,0.35,0.07,7 | 9 | 21 | 28 | 50,189,20260718,0
are the northern lights visible tonight,0,4400,0 | 5 | 0 | 0 | 5 | 1 | 54 | 1 | 5 | 0 | 0 | 0,29,0,0.33,7 | 9 | 21 | 28 | 50,182,20260718,0
can you see the northern lights tonight,0,4400,0 | 3 | 0 | 0 | 0 | 0 | 36 | 0 | 2 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,186,20260718,0
what is a geomagnetic storm,0,4400,8 | 10 | 1 | 3 | 3 | 7 | 54 | 4 | 20 | 2 | 2 | 2,38,0,0.33,5 | 9 | 21 | 28 | 50,152,20260718,0
what time are the northern lights tonight,0,4400,0 | 7 | 0 | 0 | 0 | 0 | 36 | 0 | 0 | 0 | 0 | 0,47,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
where are the northern lights located,0,4400,36 | 81 | 29 | 44 | 29 | 54 | 54 | 23 | 36 | 23 | 44 | 23,49,0.37,0.15,6 | 7 | 9 | 13 | 21 | 28 | 50,160,20260718,0
where to see northern lights tonight,0,4400,0 | 13 | 0 | 1 | 1 | 1 | 29 | 1 | 8 | 0 | 0 | 0,58,0.71,0.02,7 | 9 | 21 | 28 | 50,182,20260718,0
how to see the northern lights,0,3600,1 | 7 | 1 | 1 | 2 | 1 | 66 | 2 | 8 | 1 | 3 | 1,17,0.61,0.19,7 | 9 | 13 | 21 | 28 | 50,185,20260718,0
what is the aurora borealis,0,3600,8 | 12 | 24 | 24 | 16 | 19 | 66 | 12 | 19 | 24 | 16 | 19,66,0.12,0.02,7 | 9 | 20 | 21 | 28 | 50,142,20260718,0
can i see the aurora borealis tonight,0,2900,4 | 36 | 3 | 6 | 19 | 8 | 100 | 6 | 29 | 2 | 4 | 4,43,1.26,0.01,7 | 9 | 21 | 28 | 50,174,20260718,0
how to see aurora borealis,0,2900,2 | 16 | 2 | 2 | 8 | 4 | 100 | 0 | 19 | 1 | 5 | 2,15,0.61,0.19,7 | 9 | 21 | 28 | 43 | 50,186,20260718,0
what is a solar storm,0,2900,4 | 16 | 2 | 2 | 2 | 1 | 16 | 2 | 7 | 2 | 2 | 2,35,2.02,0.33,7 | 9 | 20 | 21 | 28 | 36 | 50,173,20260718,0
what time can i see the northern lights,0,2900,0 | 8 | 0 | 0 | 0 | 0 | 66 | 0 | 0 | 0 | 0 | 0,25,0,0.05,6 | 7 | 9 | 21 | 28 | 50,199,20260718,0
what time can you see the northern lights tonight,0,2900,0 | 10 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,28,0,0.01,6 | 7 | 9 | 21 | 28 | 50,190,20260718,0
what time to see northern lights tonight,0,2900,0 | 8 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,35,0,0.33,6 | 7 | 9 | 21 | 28 | 50,183,20260718,0
what time will the northern lights be visible,0,2900,0 | 19 | 0 | 0 | 0 | 0 | 81 | 0 | 0 | 0 | 0 | 0,29,0,0.05,7 | 9 | 21 | 28 | 50,204,20260718,0
when can i see the northern lights tonight,0,2900,0 | 8 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,45,0,0.01,7 | 9 | 21 | 28 | 50,189,20260718,0
when can you see the northern lights,0,2900,3 | 13 | 8 | 3 | 3 | 2 | 44 | 2 | 4 | 1 | 2 | 1,26,0.47,0.09,7 | 9 | 21 | 28 | 50,186,20260718,0
where can you see the aurora borealis,0,2900,19 | 29 | 44 | 29 | 66 | 44 | 44 | 23 | 44 | 35 | 23 | 54,48,0.37,0.15,6 | 9 | 20 | 21 | 28 | 50,218,20260718,0
where to see the northern lights tonight,0,2900,2 | 24 | 0 | 2 | 10 | 1 | 100 | 0 | 10 | 0 | 1 | 1,26,0.71,0.02,7 | 9 | 21 | 28 | 50,177,20260718,0
will the northern lights be visible tonight,0,2900,0 | 5 | 0 | 0 | 3 | 1 | 44 | 0 | 3 | 0 | 0 | 0,56,0,0.01,7 | 9 | 21 | 28 | 50,185,20260718,0
how watch northern lights,0,2400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 44 | 100,28,1.14,0.08,7 | 9 | 20 | 21 | 28 | 50,168,20260718,0
what time can i see the northern lights tonight,0,2400,0 | 8 | 0 | 0 | 2 | 0 | 54 | 0 | 7 | 0 | 0 | 0,24,0,0.01,7 | 9 | 21 | 28 | 50,183,20260718,0
when do you see aurora borealis,0,2400,4 | 24 | 0 | 3 | 7 | 3 | 100 | 3 | 7 | 2 | 3 | 3,32,0.47,0.09,6 | 7 | 9 | 21 | 28 | 50,176,20260718,0
when is the best time to see the northern lights,2,2400,5 | 16 | 7 | 7 | 8 | 7 | 81 | 5 | 13 | 4 | 4 | 4,22,0.66,0.25,6 | 9 | 21 | 28 | 50,178,20260718,0
when is the best time to view the aurora borealis,0 | 2,2400,3 | 7 | 0 | 2 | 3 | 3 | 54 | 3 | 4 | 2 | 2 | 3,10,0.66,0.25,6 | 7 | 9 | 21 | 28 | 50,166,20260718,0
